id,camera_id,housing_id,lens_id,gear_id,adapter_id,extension1_id,extension2_id,port_id,notes,created_at,extension3_id
7395,62,96,199,223,,119,,119,,2025-11-03 00:49:24.510326+00,
7396,62,96,199,223,,119,,117,,2025-11-03 00:49:24.613519+00,
7397,62,96,199,223,,119,,121,,2025-11-03 00:49:24.712625+00,
7398,62,96,199,223,,121,,119,,2025-11-03 00:49:24.814856+00,
7399,62,96,199,223,,121,,117,,2025-11-03 00:49:24.920418+00,
7400,62,96,199,223,,121,,121,,2025-11-03 00:49:25.026889+00,
7401,62,96,199,223,,113,,117,,2025-11-03 00:49:25.128173+00,
7402,62,96,199,223,,113,,81,,2025-11-03 00:49:25.23074+00,
7403,62,96,199,223,,113,,80,,2025-11-03 00:49:25.329094+00,
7404,62,96,199,223,,114,,117,,2025-11-03 00:49:25.428934+00,
7405,62,96,199,223,,114,,81,,2025-11-03 00:49:25.532018+00,
7406,62,96,199,223,,114,,80,,2025-11-03 00:49:25.634082+00,
7407,62,96,200,234,,119,,119,,2025-11-03 00:49:25.732791+00,
7408,62,96,200,234,,120,,119,,2025-11-03 00:49:25.835431+00,
7409,62,96,200,234,,113,,81,,2025-11-03 00:49:25.935465+00,
7410,62,96,200,234,,113,,80,,2025-11-03 00:49:26.037501+00,
7411,62,96,200,234,,114,,81,,2025-11-03 00:49:26.141503+00,
7412,62,96,200,234,,114,,80,,2025-11-03 00:49:26.241626+00,
7413,62,96,201,235,20,,,128,,2025-11-03 00:49:26.351358+00,
7414,62,96,201,235,,104,105,127,,2025-11-03 00:49:26.450752+00,
7415,62,96,201,235,16,,,131,,2025-11-03 00:49:26.554874+00,
7416,62,96,201,235,,112,,126,,2025-11-03 00:49:26.658886+00,
7417,62,96,203,244,,,,135,,2025-11-03 00:49:26.761187+00,
7418,62,96,203,244,20,,,128,,2025-11-03 00:49:26.863126+00,
7419,62,96,212,245,20,131,130,130,,2025-11-03 00:49:26.970909+00,130
7420,62,96,212,245,20,131,,130,,2025-11-03 00:49:27.076004+00,
7421,62,96,242,270,,124,,125,,2025-11-03 00:49:27.177545+00,
7422,62,96,242,270,,123,134,125,,2025-11-03 00:49:27.282775+00,
7423,62,96,295,298,,113,,119,,2025-11-03 00:49:27.385481+00,
7424,62,96,295,298,,113,,121,,2025-11-03 00:49:27.490471+00,
7425,62,96,295,298,,114,,119,,2025-11-03 00:49:27.593189+00,
7426,62,96,295,298,,114,,121,,2025-11-03 00:49:27.692008+00,
7427,62,96,295,298,,111,,117,,2025-11-03 00:49:27.789072+00,
7428,62,96,295,298,,112,,117,,2025-11-03 00:49:27.894718+00,
7429,62,96,298,299,,104,,133,,2025-11-03 00:49:27.994479+00,
7430,62,96,298,299,,105,,133,,2025-11-03 00:49:28.09766+00,
7431,62,96,299,,21,,,119,,2025-11-03 00:49:28.203939+00,
7432,62,96,299,,21,,,81,,2025-11-03 00:49:28.309188+00,
7433,62,96,299,,21,,,80,,2025-11-03 00:49:28.414259+00,
7434,62,96,300,300,,119,,121,,2025-11-03 00:49:28.514547+00,
7435,62,96,300,300,,120,,121,,2025-11-03 00:49:28.614723+00,
7436,62,96,300,300,,113,,124,,2025-11-03 00:49:28.716673+00,
7437,62,96,300,300,,114,,124,,2025-11-03 00:49:28.815331+00,
7438,62,96,302,303,,119,,117,,2025-11-03 00:49:28.917865+00,
7439,62,96,302,303,,120,,117,,2025-11-03 00:49:29.017486+00,
7440,62,96,302,303,,122,,119,,2025-11-03 00:49:29.119825+00,
7441,62,96,302,303,,122,,124,,2025-11-03 00:49:29.224276+00,
