和名,学名,分布,深さ,体長,description
アミメキセワタ,Tubulophilinopsis reticulata,インド-西太平洋,1m,25~30mm,体は白色で、黒褐色の網目状斑紋で覆われる。この斑紋の網目の大きさにはやや個体差がある。頭楯先端は細く、縦に扁平。側足前縁は青色の斑紋が入る。30mmに達する。
ヨコジマキセワタ,Tubulophilinopsis lineolata,西太平洋,5m,40~40mm,体は白色で黒褐色の横縞が多数入る。頭楯前部は細く、縦に扁平。側足前縁と尾には青い斑紋がある。40mmに達する。
ワモンキセワタ,Tubulophilinopsis pilsbryi,インド-太平洋,9m,30~40mm,体は乳白色から黄白色で、全体に黒褐色の大きな輪状斑紋が入る。頭部は細く、縦に扁平。眼を視認できる。40mmに達する
マダラアミメキセワタ,Tubulophilinopsis sp.,西太平洋,1m,25~35mm,体は黄白色で、黒色や黒褐色の網目模様で覆われる。側足の黒色の網目模様は大きく、頭楯と外套楯の網目模様はごく小さい。頭楯の前部斑紋はやや大きく、斜めにくっきりとした境界がある。35mmに達する。
ハナイロキセワタ,Spinophallus falciphallus,西太平洋,7m,20~30mm,体は赤紫色。白色の斑紋に重なるように黄色の斑紋があり、全体を覆う。頭楯前縁と側足縁には暗褐色斑がある。外套楯後端に大きな突起がある。30mmに達する。
ニシキツバメガイ,Chelidonura hirundinina,インド-太平洋,5m,15~30mm,体は黒色で、全体に青色～緑色、黄色～橙色の縦線が入る。頭楯前部の青い斑紋はT字形になる。背面後部には白色の横線が入ることがある。尾は左側が長い。分子系統解析では隠蔽種の存在が示唆されている。30mmに達する。
クロヘリシロツバメガイ,Chelidonura pallida,東インド洋、西太平洋,7m,25~50mm,体は白色で、黒色と黄色の線で縁取られる。尾は2叉し、左側は広く大きい。頭楯後端は小さく立ち上がる。50mmに達する。
コナユキツバメガイ,Chelidonura amoena,西太平洋,5m,25~55mm,体は乳白色で背面は暗褐色を帯びるが、ときに頭楯前端を除く全体が黒色になる個体も見られる。この暗褐色や黒色などの暗色部は黄白色の細点で覆われる。アカボシツバメガイやオハグロツバメガイに似る個体もあるが、本種の頭楯前端の白色域は橙色斑をもたない。55mmに達する。
ゲンノウツバメガイ,Chelidonura varians,西太平洋,10m,50~70mm,体は黒色で、青色細線で縁取られる。頭楯の正中線上にも短い青色縦線がある。頭楯前部は横に張り出す。本邦では八重山諸島以南でよく見られ、沖縄島は北限記録と思われる。大型種で70mmに達する。
ヤミヨキセワタ,Melanochlamys fukudai,北太平洋,5m,12~12mm,体は褐色から黒紫色。頭楯正中線上に黒色縦線がある。尾は短く筒状になり、左右はほぼ同長。12mmに達する。
タソガレキセワタ,Melanochlamys kohi,日本、韓国,7m,7~14mm,体は淡褐色で、褐色、黒褐色の細点で覆われる。頭楯後部から外套楯半ばに消化腺がやや暗色に見える。過去の本ではアメイロキセワタという異名もある。本写真個体の外套楯上の円形物は砂粒。14mm。
ヤマトキセワタ,Melanochlamys sp. cf. diomedia,日本,3m,13~13mm,体は灰色を帯びた半透明で、全体に褐色や黒色の小斑紋が散在する。尾は短く、左右同長。南カリフォルニアからアラスカにかけて分布するM.diomedea に似るが同種とするには精査する必要がある。13mm。
トンプソンアワツブガイ,Colpodaspis thompsoni,インド-太平洋,7m,4~3mm,貝殻を包む外套膜は黒褐色で、白色で大きく縁取られた黄色斑紋がある。この黄色斑紋はわずかに突起する。頭部上面と尾は黒褐色。腹足から頭部下面は白色を帯びる。体右側後部に黒褐色の突起がある。殻長3mmに達する。
キツネアワツブガイ,Colpodaspis sp.1,西太平洋,18m,7~7mm,軟体部は淡青色で縁は暗褐色を帯びる。貝殻を覆う外套膜は紫褐色で乳白色の細点や斑紋で覆われる。頭部上面に黒色で縁取られた茶色のY字型の色帯がある。本種は尾の正中線上が白みを帯び、黒色線をもたない。7mmに達する。
チャイロアワツブガイ,Colpodaspis sp.2,南西諸島,8m,4~4mm,貝殻を覆う外套膜を含め、体はほぼ一様に茶褐色で斑紋はない。頭部先端は浅く2分岐する。眼域周囲は透明。体の右側後方の突起は太く短い。頭部後方に貝殻の露出した円形部分がある。4mmに達するが貝殻は1.8mm程度。
アマクサウミコチョウ,Gastropteron bicornutum,西太平洋,2m,7~15mm,体は白みを帯びた半透明で、黒褐色の雲状模様が不規則に入る。体表全体に橙色点、黒色細点、白色点を散布する。内臓嚢の後部に2本の突起がある。尾は長く、正中線上に黒色縦線がある。15mmに達する。
マメツブウミコチョウ,Gastropteron minutum,西太平洋、中部太平洋,2m,3~3mm,体はほぼ透明で白色や褐色の斑紋で覆われる。体表には小さな不定形の突起が数多くある。尾は長い。内臓嚢後部の突起は細長い。3mmに達する。
ミドリウミコチョウ,Gastropteron viride,日本,26m,5~5mm,体はかすかに緑がかった黄色で、橙赤色の斑紋が頭楯の中央から後端、内臓嚢上面、後部突起、側足の上縁にある。側足は白色で縁取られる。稀種。5mmに達する。
ガストロプテロン・パシフィクム,Gastropteron pacificum,日本、北米西海岸,6m,6~40mm,体は白みを帯びた半透明で、赤褐色と黄色の細点が小さな集まりをもって全体に散布する。側足は大きく、内臓嚢はほぼ完全に覆われ、頂部に小孔をもつ。たいへん活発に遊泳することで有名。生息水深に幅があり、潮間帯から500mの記録がある。外来種の可能性がある。40mmに達するとされる。
ウスバネウミコチョウ,Gastropteron sp.1,南西諸島,7m,10~10mm,体は白みを帯びた半透明で、黒褐色の雲状模様が不規則に入る。体表には不定形の橙色斑紋、多くの白色細点が散布する。頭楯縁、側足は紫褐色線で縁取られる。内臓嚢の後部突起は1本で長い。刺激により遊泳または砂中潜行する。10mmに達する。
シロウミコチョウ,Gastropteron sp.2,日本,5m,4~3mm,体は白色、または黄色。それぞれの体色で頭楯後端が赤色になることがある。内臓嚢後端の突起は透明で細長く、白色細点を散らす。3mmに達する。
アマミウミコチョウ,Gastropteron sp.3,南西諸島,1m,3~5mm,体地色は半透明で、内臓嚢や側足には橙色や暗褐色の不定形斑紋が入る。この橙色斑紋は側足全体に及ぶことがある。また、頭楯、内臓嚢には大きな白色斑紋が入る。内臓嚢後端の突起は右寄りで短い。5mmに達する。
ムラサキウミコチョウ,Sagaminopteron ornatum,西太平洋,12m,15~15mm,体は紫色から薄紫色。頭楯後端の突起と内臓嚢後部の突起は橙黄色で、白色で縁取られる。側足を羽ばたかせて遊泳する。薄紫色のカイメン上でよく見られ、摂食していると考えられるが、歯舌の形状からこれを認めない研究者もいる。15mmに達する。
マダラウミコチョウ,Sagaminopteron multimaculatum,日本、フィリピン,10m,4~5mm,体は褐色で白色の不定形斑紋と黄色細点を散布する。側足縁と尾の縁の一部は赤褐色になる。内臓嚢後部の突起を欠く。頭楯は短く後端の突起は黒ずむ。小野（2004）のSiph.pohnpeiは誤同定。過去の本ではサキシマウミコチョウという異名もある。5mmに達する。
コンニャクウミコチョウ,Sagaminopteron nigropunctatum,インド-西太平洋,8m,8~13mm,体は薄紫色を帯びた灰色で、全体に小さく突起した白色細点を散らす。頭楯後端の突起縁は橙色で縁取られる。内臓嚢後部の突起と頭楯前端左右には橙色斑紋がある。背側突起縁が橙色になる個体も知られる。同色のカイメン、Dysidea sp.に着生し、摂食する。13mmに達する。
トウモンウミコチョウ,Sagaminopteron psychedelicum,インド-太平洋,10m,10~20mm,体はクリーム色からピンク色で、黒く縁取られた橙色の斑紋が全体を覆う。頭楯後端と内臓嚢突起は赤色。体の右側には鰓が露出する。灰色のカイメンDysidea sp.に着生し、摂食する。種名はサイケデリックな、の意。20mmに達する。
サガミノプテロン・ポンペイ,Sagaminopteron pohnpei,西太平洋、中部太平洋,1m,5~5mm,体は白みを帯びた半透明で、黒褐色の色素が集まり黒っぽく見える。体表には白色や黄色の細点を散らす。内臓嚢後部には数個の小さなこぶ状突起がある。過去の本ではマダラウミコチョウとされていた場合もある。5mmに達する。
アユカワウミコチョウ,Siphopteron fuscum,日本,6m,2~10mm,体は黒褐色で白色斑紋が散在する。頭楯後端の突起先端、内臓嚢後部の突起先端は朱色。尾は橙色で縁取られ、正中線上の白色帯は幅がある。10mmに達する。
オレンジウミコチョウ,Siphopteron brunneomarginatum,西太平洋、中部太平洋,5m,4~5mm,体は白みを帯びた半透明で、黄色の細点が密に覆う。頭楯の後端、側足縁、内臓嚢の後部突起は黒褐色。内臓嚢の後部突起の基部から左右、特に左側に黒褐色線が長く伸びる。近似のクロフチウミコチョウは頭楯後端の水管様突起が細く突出し、内臓嚢は丸みを帯びる。5mmに達する。
